dataset,trace,cache_pct,lru,lruforgive,lru_gap_pp,s3fifo,s3fifoforgive,s3_gap_pp
?,tencentBlock_23687,10,0.3774,0.3749,0.250,0.3718,0.3718,0.000
?,tencentBlock_23692,10,0.2792,0.2799,-0.070,0.3012,0.3012,0.000
?,tencentBlock_23695,10,0.6065,0.6032,0.330,0.6015,0.6017,-0.020
?,tencentBlock_23698,10,0.3114,0.2929,1.850,0.2844,0.2842,0.020
?,tencentBlock_2371,10,0.2224,0.2210,0.140,0.2165,0.2164,0.010
?,tencentBlock_23716,10,0.3043,0.3045,-0.020,0.2970,0.2970,0.000
?,tencentBlock_2372,10,0.4078,0.4065,0.130,0.3251,0.3251,0.000
?,tencentBlock_23723,10,,,,,,
?,tencentBlock_23724,10,0.1908,0.1858,0.500,0.1811,0.1811,0.000
?,tencentBlock_23730,10,0.4120,0.4110,0.100,0.4108,0.4108,0.000
?,tencentBlock_23734,10,0.2280,0.2272,0.080,0.2234,0.2241,-0.070
?,tencentBlock_23735,10,0.4234,0.4232,0.020,0.4243,0.4243,0.000
?,tencentBlock_23740,10,0.1734,0.1738,-0.040,0.1845,0.1844,0.010
?,tencentBlock_23745,10,,,,,,
?,tencentBlock_23754,10,0.2230,0.2228,0.020,0.2216,0.2217,-0.010
?,tencentBlock_23760,10,0.2068,0.2068,0.000,0.2076,0.2076,0.000
?,tencentBlock_23767,10,0.3354,0.3350,0.040,0.3261,0.3261,0.000
?,tencentBlock_2377,10,0.1899,0.1905,-0.060,0.1958,0.1957,0.005
?,tencentBlock_23772,10,0.5004,0.4997,0.070,0.4974,0.4974,0.000
?,tencentBlock_23781,10,0.2046,0.2054,-0.080,0.2164,0.2162,0.020
?,tencentBlock_23790,10,0.3686,0.3685,0.010,0.3684,0.3684,0.000
?,tencentBlock_23794,10,0.5203,0.5190,0.130,0.5137,0.5124,0.130
?,tencentBlock_23797,10,0.6025,0.6020,0.050,0.5997,0.5997,0.000
?,tencentBlock_23806,10,0.3934,0.3801,1.330,0.3572,,
?,tencentBlock_23810,10,0.3570,0.3570,0.000,0.3568,0.3568,0.000
?,tencentBlock_23816,10,0.1329,0.1341,-0.120,0.1536,0.1536,0.000
?,tencentBlock_23819,10,0.3706,0.3673,0.330,0.3302,0.3302,0.000
?,tencentBlock_23828,10,0.3951,0.3951,0.000,0.3944,0.3944,0.000
?,tencentBlock_23831,10,0.2355,0.2368,-0.130,0.2489,0.2491,-0.020
?,tencentBlock_23834,10,0.2595,0.2589,0.060,0.2637,0.2637,0.000
?,tencentBlock_23842,10,0.2858,0.2794,0.640,0.2638,0.2631,0.070
?,tencentBlock_23846,10,0.3891,0.3891,0.000,0.3892,0.3892,0.000
?,tencentBlock_23855,10,0.2075,0.2074,0.010,0.2128,0.2127,0.010
?,tencentBlock_23858,10,0.3980,0.3837,1.430,,0.3706,
?,tencentBlock_2386,10,0.2440,0.2330,1.100,0.1851,0.1862,-0.110
?,tencentBlock_23867,10,0.3233,0.3233,0.000,0.3232,0.3232,0.000
?,tencentBlock_23871,10,0.0024,0.0024,0.000,0.0023,0.0023,0.000
?,tencentBlock_23884,10,0.3538,0.3532,0.060,,0.3496,
?,tencentBlock_23893,10,0.4003,0.3978,0.250,0.3947,0.3947,0.000
?,tencentBlock_23894,10,0.0197,0.0197,0.000,0.0196,0.0196,0.000
?,tencentBlock_2390,10,0.3083,0.2981,1.020,0.2731,0.2730,0.010
?,tencentBlock_23900,10,0.3197,0.3197,0.000,0.3193,0.3193,0.000
?,tencentBlock_23905,10,0.1672,0.1679,-0.070,0.1788,0.1788,0.000
?,tencentBlock_23908,10,0.2562,0.2545,0.170,0.2496,0.2496,0.000
?,tencentBlock_23914,10,0.2741,0.2740,0.010,0.2727,0.2727,0.000
?,tencentBlock_23916,10,0.3053,0.3051,0.020,0.3015,0.3015,0.000
?,tencentBlock_23925,10,0.3441,0.3427,0.140,0.2781,0.2782,-0.010
?,tencentBlock_23930,10,0.3966,0.3961,0.050,0.3906,0.3906,0.000
?,tencentBlock_23933,10,0.5096,0.5094,0.020,,0.5077,
?,tencentBlock_23952,10,0.2698,0.2691,0.070,0.2702,0.2702,0.000
?,tencentBlock_23961,10,0.4004,0.4003,0.010,0.4001,0.4001,0.000
?,tencentBlock_23970,10,0.4774,0.4772,0.020,0.4823,0.4823,0.000
?,tencentBlock_23974,10,0.2223,0.2223,0.000,0.2223,0.2223,0.000
?,tencentBlock_23980,10,0.4265,0.4265,0.000,0.4201,0.4201,0.000
?,tencentBlock_2399,10,0.3089,0.3098,-0.090,0.3265,0.3265,0.000
?,tencentBlock_23992,10,0.4278,0.4274,0.040,0.4190,0.4189,0.010
?,tencentBlock_23993,10,0.2290,0.2290,0.000,0.2290,0.2290,0.000
?,tencentBlock_24002,10,0.5356,0.5355,0.010,0.5355,0.5355,0.000
?,tencentBlock_24010,10,0.2107,0.2107,0.000,0.2102,0.2102,0.000
?,tencentBlock_24014,10,0.3332,0.3332,0.000,0.3337,0.3337,0.000
